2024-12-31 17:44:11 - INFO - Input file: /Users/tattoomaster/my-website/scripts/poetry-automation/test_data.json
2024-12-31 17:44:11 - INFO - Output directory: /Users/tattoomaster/my-website/docs/poetry
2024-12-31 17:44:11 - INFO - Dry run: False
2024-12-31 17:44:11 - INFO - Force mode: True
2024-12-31 17:44:11 - INFO - Project root: /Users/tattoomaster/my-website
2024-12-31 17:44:11 - INFO - Base dir: /Users/tattoomaster/my-website/docs/poetry
2024-12-31 17:44:11 - DEBUG - Starting new HTTPS connection (1): v2.jinrishici.com:443
2024-12-31 17:44:11 - DEBUG - https://v2.jinrishici.com:443 "GET /token HTTP/1.1" 200 62
2024-12-31 17:44:11 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:44:11 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:44:11 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:44:11 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:44:11 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:44:11 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:44:11 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:44:17 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 403 0
2024-12-31 17:44:17 - ERROR - Error fetching poem from API: 403 Client Error: Forbidden for url: https://v2.jinrishici.com/one.json
2024-12-31 17:44:17 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:44:17 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:44:17 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:44:17 - DEBUG - Skipping duplicate poem: 春江花月夜
2024-12-31 17:44:17 - DEBUG - https://v2.jinrishici.com:443 "GET /one.json HTTP/1.1" 200 None
2024-12-31 17:44:17 - DEBUG - Skipping duplicate poem: 春江花月夜
